21:24:00.086 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Sprite sheet loaded successfully
21:24:00.088 [AWT-EventQueue-0] INFO  se233.asteroid888.model.Ship - PlayerShip initialized at position (400.0, 300.0)
21:24:00.088 [AWT-EventQueue-0] INFO  se233.asteroid888.model.Ship - Invincibility activated - Duration: 120 ticks
21:24:00.472 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 300.00, Angle: 0.00
21:24:00.487 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 300.50, Angle: 0.00
21:24:00.518 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 301.49, Angle: 0.00
21:24:00.547 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:24:00.549 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 302.96, Angle: 0.00
21:24:00.579 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 304.90, Angle: 0.00
21:24:00.610 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 307.30, Angle: 0.00
21:24:00.640 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 310.16, Angle: 0.00
21:24:00.671 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 313.45, Angle: 0.00
21:24:00.687 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:24:00.827 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 331.38, Angle: 0.00
21:24:00.831 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:24:00.858 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 399.50, Y: 334.75, Angle: 0.00
21:24:00.889 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 398.51, Y: 338.05, Angle: 0.00
21:24:00.889 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 398.51, Y: 338.05, Angle: 0.00
21:24:00.920 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 397.04, Y: 340.79, Angle: 0.00
21:24:00.921 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 397.04, Y: 340.79, Angle: 0.00
21:24:00.951 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 395.10, Y: 342.98, Angle: 0.00
21:24:00.951 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 395.10, Y: 342.98, Angle: 0.00
21:24:00.981 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:24:00.982 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 392.70, Y: 344.62, Angle: 0.00
21:24:00.982 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 392.70, Y: 344.62, Angle: 0.00
21:24:01.013 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 389.84, Y: 345.73, Angle: 0.00
21:24:01.013 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 389.84, Y: 345.73, Angle: 0.00
21:24:01.044 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 386.55, Y: 346.31, Angle: 0.00
21:24:01.044 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 386.55, Y: 346.31, Angle: 0.00
21:24:01.060 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 382.82, Y: 346.38, Angle: 0.00
21:24:01.060 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 382.82, Y: 346.38, Angle: 0.00
21:24:01.868 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 295.44, Y: 337.39, Angle: 0.00
21:24:01.899 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 293.53, Y: 337.15, Angle: 0.00
21:24:01.930 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 292.16, Y: 336.90, Angle: 0.00
21:24:01.961 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 291.32, Y: 336.67, Angle: 0.00
21:24:02.008 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 290.99, Y: 336.43, Angle: 0.00
21:24:02.039 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 291.17, Y: 336.20, Angle: 0.00
21:24:02.070 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 291.85, Y: 335.98, Angle: 0.00
21:24:02.101 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 293.01, Y: 335.76, Angle: 0.00
21:24:02.133 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 294.65, Y: 335.54, Angle: 0.00
21:24:02.163 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 296.76, Y: 335.33, Angle: 0.00
21:24:02.209 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 299.32, Y: 335.13, Angle: 0.00
21:24:02.240 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 302.34, Y: 334.92, Angle: 0.00
21:24:02.271 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 305.79, Y: 334.73, Angle: 0.00
21:24:02.287 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 309.68, Y: 334.53, Angle: 0.00
21:24:02.304 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 313.98, Y: 334.34, Angle: 0.00
21:24:02.320 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 318.70, Y: 334.15, Angle: 0.00
21:24:02.338 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 323.70, Y: 333.98, Angle: 0.00
21:24:02.355 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 328.70, Y: 333.81, Angle: 0.00
21:24:02.371 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 333.69, Y: 333.67, Angle: 0.00
21:24:02.387 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 338.69, Y: 333.53, Angle: 0.00
21:24:02.405 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 343.69, Y: 333.41, Angle: 0.00
21:24:02.422 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 348.69, Y: 333.30, Angle: 0.00
21:24:02.440 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 353.69, Y: 333.20, Angle: 0.00
21:24:02.527 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 377.71, Y: 332.77, Angle: 0.00
21:24:02.544 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 382.22, Y: 332.19, Angle: 0.00
21:24:02.560 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 386.65, Y: 331.12, Angle: 0.00
21:24:02.577 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 390.99, Y: 329.57, Angle: 0.00
21:24:02.594 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 395.25, Y: 327.55, Angle: 0.00
21:24:02.610 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 399.41, Y: 325.07, Angle: 0.00
21:24:02.629 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 403.48, Y: 322.16, Angle: 0.00
21:24:02.646 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 407.30, Y: 318.94, Angle: 0.00
21:24:02.662 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 410.88, Y: 315.45, Angle: 0.00
21:24:02.679 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 414.21, Y: 311.72, Angle: 0.00
21:24:02.695 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 417.30, Y: 307.79, Angle: 0.00
21:24:02.712 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 420.16, Y: 303.69, Angle: 0.00
21:24:02.730 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 422.79, Y: 299.43, Angle: 0.00
21:24:02.730 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 422.79, Y: 299.43, Angle: 0.00
21:24:02.747 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 424.71, Y: 295.06, Angle: 0.00
21:24:02.747 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 424.71, Y: 295.06, Angle: 0.00
21:24:02.763 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 426.04, Y: 290.41, Angle: 0.00
21:24:02.763 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 426.04, Y: 290.41, Angle: 0.00
21:24:02.780 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 426.79, Y: 285.56, Angle: 0.00
21:24:02.780 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 426.79, Y: 285.56, Angle: 0.00
21:24:02.797 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 426.97, Y: 280.61, Angle: 0.00
21:24:02.797 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 426.97, Y: 280.61, Angle: 0.00
21:24:02.813 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 426.65, Y: 275.62, Angle: 0.00
21:24:02.830 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 425.83, Y: 270.73, Angle: 0.00
21:24:02.846 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 424.53, Y: 265.94, Angle: 0.00
21:24:02.864 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 422.76, Y: 261.26, Angle: 0.00
21:24:02.880 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 420.56, Y: 256.77, Angle: 0.00
21:24:02.898 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 417.99, Y: 252.48, Angle: 0.00
21:24:02.914 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 415.07, Y: 248.43, Angle: 0.00
21:24:02.931 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 411.84, Y: 244.61, Angle: 0.00
21:24:02.948 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 408.34, Y: 241.04, Angle: 0.00
21:24:02.964 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 404.61, Y: 237.71, Angle: 0.00
21:24:02.981 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.67, Y: 234.63, Angle: 0.00
21:24:02.998 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 396.56, Y: 231.78, Angle: 0.00
21:24:03.015 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 392.31, Y: 229.15, Angle: 0.00
